"Label (Grouping)","Boston city, Massachusetts!!Estimate","Boston city, Massachusetts!!Margin of Error"
"Total:","610,081","±5,249"
"    Under .50","62,861","±5,865"
"    .50 to .74","23,451","±4,880"
"    .75 to .99","27,886","±4,627"
"    1.00 to 1.24","29,135","±5,839"
"    1.25 to 1.49","21,484","±4,274"
"    1.50 to 1.74","18,153","±3,468"
"    1.75 to 1.84","6,459","±2,417"
"    1.85 to 1.99","10,358","±3,087"
"    2.00 to 2.99","66,789","±8,381"
"    3.00 to 3.99","58,325","±7,080"
"    4.00 to 4.99","57,818","±6,467"
"    5.00 and over","227,362","±10,073"