Census Tract,Value,Total,Income in the past 12 months below poverty level,Married-couple family below poverty,Married-couple family below poverty: 2 people,Married-couple family below poverty: 3 to 4 people,Married-couple family below poverty: 5 to 6 people,Married-couple family below poverty: 7 or more people,Other families below poverty,"Male householder, no spouse present below poverty",Male householder below poverty: 2 people,Male householder below poverty: 3 to 4 people,Male householder below poverty: 5 to 6 people,Male householder below poverty: 7 or more people,"Female householder, no spouse present below poverty",Female householder below poverty: 2 people,Female householder below poverty: 3 to 4 people,Female householder below poverty: 5 to 6 people,Female householder below poverty: 7 or more people,Income in the past 12 months at or above poverty level,Married-couple family above poverty,Married-couple family above poverty: 2 people,Married-couple family above poverty: 3 to 4 people,Married-couple family above poverty: 5 to 6 people,Married-couple family above poverty: 7 or more people,Other families above poverty,"Male householder, no spouse present above poverty",Male householder above poverty: 2 people,Male householder above poverty: 3 to 4 people,Male householder above poverty: 5 to 6 people,Male householder above poverty: 7 or more people,"Female householder, no spouse present above poverty",Female householder above poverty: 2 people,Female householder above poverty: 3 to 4 people,Female householder above poverty: 5 to 6 people,Female householder above poverty: 7 or more people
1.01,Estimate,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,166,35,89,42,0,25,0,0,0,0,0,25,13,12,0,0
1.01,Margin of Error,61,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,61,55,29,51,48,13,30,13,13,13,13,13,30,22,21,13,13
1.02,Estimate,611,83,0,0,0,0,0,83,4,0,4,0,0,79,12,67,0,0,528,450,204,211,35,0,78,20,20,0,0,0,58,58,0,0,0
1.02,Margin of Error,130,57,13,13,13,13,13,57,15,13,15,13,13,56,20,56,13,13,121,115,119,84,34,13,63,25,25,13,13,13,60,60,13,13,13
2.01,Estimate,682,79,79,7,0,0,72,0,0,0,0,0,0,0,0,0,0,0,603,478,237,185,44,12,125,62,0,62,0,0,63,51,12,0,0
2.01,Margin of Error,159,101,101,12,13,13,99,13,13,13,13,13,13,13,13,13,13,13,140,130,118,66,34,20,97,95,13,95,13,13,45,40,17,13,13
2.02,Estimate,723,149,44,2,24,6,12,105,0,0,0,0,0,105,41,64,0,0,574,375,111,225,39,0,199,18,10,8,0,0,181,90,91,0,0
2.02,Margin of Error,141,75,47,7,35,20,19,67,13,13,13,13,13,67,38,62,13,13,148,118,49,106,48,13,96,19,16,15,13,13,89,72,62,13,13
3.01,Estimate,379,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361,225,122,78,25,0,136,7,0,7,0,0,129,129,0,0,0
3.01,Margin of Error,145,27,27,27,13,13,13,13,13,13,13,13,13,13,13,13,13,13,138,80,63,49,17,13,124,11,13,11,13,13,123,123,13,13,13
3.02,Estimate,762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,762,568,336,232,0,0,194,91,76,15,0,0,103,67,10,26,0
3.02,Margin of Error,230,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,230,242,234,61,13,13,85,56,52,17,13,13,70,49,16,43,13
4.01,Estimate,785,121,121,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664,554,519,0,35,0,110,66,49,17,0,0,44,37,7,0,0
4.01,Margin of Error,185,92,92,92,19,19,19,19,19,19,19,19,19,19,19,19,19,19,175,162,160,19,42,19,99,84,80,27,19,19,40,39,11,19,19
4.02,Estimate,506,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498,411,196,84,101,30,87,38,8,25,0,5,49,49,0,0,0
4.02,Margin of Error,153,11,11,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,150,144,82,43,121,12,64,37,14,34,13,7,50,50,13,13,13
5.02,Estimate,356,48,48,28,20,0,0,0,0,0,0,0,0,0,0,0,0,0,308,262,201,61,0,0,46,0,0,0,0,0,46,37,9,0,0
5.02,Margin of Error,81,42,42,27,31,19,19,19,19,19,19,19,19,19,19,19,19,19,71,68,64,32,19,19,36,19,19,19,19,19,36,33,14,19,19
5.03,Estimate,273,16,10,10,0,0,0,6,6,6,0,0,0,0,0,0,0,0,257,257,187,70,0,0,0,0,0,0,0,0,0,0,0,0,0
5.03,Margin of Error,95,14,15,15,13,13,13,9,9,9,13,13,13,13,13,13,13,13,93,93,68,64,13,13,13,13,13,13,13,13,13,13,13,13,13
5.05,Estimate,294,71,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,178,143,35,0,0,45,9,9,0,0,0,36,36,0,0,0
5.05,Margin of Error,106,71,71,71,13,13,13,13,13,13,13,13,13,13,13,13,13,13,107,83,82,7,13,13,59,13,13,13,13,13,58,58,13,13,13
5.06,Estimate,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,266,197,69,0,0,27,0,0,0,0,0,27,27,0,0,0
5.06,Margin of Error,120,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,120,108,103,39,13,13,35,13,13,13,13,13,35,35,13,13,13
6.01,Estimate,529,32,25,25,0,0,0,7,0,0,0,0,0,7,0,7,0,0,497,353,192,89,72,0,144,70,23,47,0,0,74,45,8,0,21
6.01,Margin of Error,88,30,28,28,13,13,13,12,13,13,13,13,13,12,13,12,13,13,97,89,65,57,57,13,62,49,24,43,13,13,42,37,13,13,26
6.03,Estimate,351,168,73,73,0,0,0,95,0,0,0,0,0,95,0,39,56,0,183,138,123,15,0,0,45,16,16,0,0,0,29,29,0,0,0
6.03,Margin of Error,141,108,67,67,13,13,13,85,13,13,13,13,13,85,13,30,83,13,104,93,76,32,13,13,43,31,31,13,13,13,38,38,13,13,13
6.04,Estimate,334,85,81,55,26,0,0,4,0,0,0,0,0,4,0,4,0,0,249,235,114,121,0,0,14,0,0,0,0,0,14,14,0,0,0
6.04,Margin of Error,156,95,92,83,43,13,13,20,13,13,13,13,13,20,13,20,13,13,145,140,87,104,13,13,21,13,13,13,13,13,21,21,13,13,13
7.01,Estimate,503,17,0,0,0,0,0,17,17,0,17,0,0,0,0,0,0,0,486,347,331,14,2,0,139,120,105,15,0,0,19,19,0,0,0
7.01,Margin of Error,167,22,13,13,13,13,13,22,22,13,22,13,13,13,13,13,13,13,164,140,142,22,14,13,110,106,104,22,13,13,28,28,13,13,13
7.03,Estimate,88,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,47,47,0,0,0,27,27,27,0,0,0,0,0,0,0,0
7.03,Margin of Error,50,23,23,23,13,13,13,13,13,13,13,13,13,13,13,13,13,13,45,30,30,13,13,13,32,32,32,13,13,13,13,13,13,13,13
7.04,Estimate,605,35,35,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,570,278,278,0,0,0,292,47,11,0,36,0,245,204,41,0,0
7.04,Margin of Error,221,40,40,31,24,13,13,13,13,13,13,13,13,13,13,13,13,13,218,129,129,13,13,13,183,65,17,13,62,13,171,164,57,13,13
8.04,Estimate,543,25,0,0,0,0,0,25,0,0,0,0,0,25,25,0,0,0,518,335,218,61,38,18,183,18,18,0,0,0,165,37,128,0,0
8.04,Margin of Error,186,41,13,13,13,13,13,41,13,13,13,13,13,41,41,13,13,13,184,113,93,57,30,50,154,28,28,13,13,13,152,52,143,13,13
8.05,Estimate,280,51,16,0,0,16,0,35,0,0,0,0,0,35,0,35,0,0,229,165,165,0,0,0,64,26,26,0,0,0,38,38,0,0,0
8.05,Margin of Error,126,57,22,13,13,22,13,53,13,13,13,13,13,53,13,53,13,13,110,99,99,13,13,13,52,47,47,13,13,13,39,39,13,13,13
8.06,Estimate,133,10,10,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,123,123,112,6,5,0,0,0,0,0,0,0,0,0,0,0,0
8.06,Margin of Error,82,11,11,6,9,13,13,13,13,13,13,13,13,13,13,13,13,13,81,81,82,10,8,13,13,13,13,13,13,13,13,13,13,13,13
8.07,Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.07,Margin of Error,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
101.03,Estimate,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101.03,Margin of Error,37,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,37,37,37,13,13,13,13,13,13,13,13,13,13,13,13,13,13
101.04,Estimate,368,12,0,0,0,0,0,12,0,0,0,0,0,12,12,0,0,0,356,297,218,79,0,0,59,29,29,0,0,0,30,30,0,0,0
101.04,Margin of Error,111,18,13,13,13,13,13,18,13,13,13,13,13,18,18,13,13,13,113,101,93,50,13,13,49,38,38,13,13,13,31,31,13,13,13
102.04,Estimate,111,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,94,83,11,0,0,5,0,0,0,0,0,5,5,0,0,0
102.04,Margin of Error,48,19,19,19,13,13,13,13,13,13,13,13,13,13,13,13,13,13,40,39,35,15,13,13,8,13,13,13,13,13,8,8,13,13,13
102.05,Estimate,564,66,41,0,0,41,0,25,17,17,0,0,0,8,8,0,0,0,498,468,384,84,0,0,30,30,30,0,0,0,0,0,0,0,0
102.05,Margin of Error,208,71,66,13,13,66,13,25,21,21,13,13,13,13,13,13,13,13,190,178,149,72,13,13,46,46,46,13,13,13,13,13,13,13,13
102.06,Estimate,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,105,72,33,0,0,138,138,138,0,0,0,0,0,0,0,0
102.06,Margin of Error,222,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,222,92,73,52,13,13,209,209,209,13,13,13,13,13,13,13,13
103,Estimate,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,33,11,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Margin of Error,26,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,26,26,22,15,19,19,19,19,19,19,19,19,19,19,19,19,19
104.03,Estimate,285,51,0,0,0,0,0,51,0,0,0,0,0,51,10,41,0,0,234,206,162,44,0,0,28,0,0,0,0,0,28,28,0,0,0
104.03,Margin of Error,91,68,13,13,13,13,13,68,13,13,13,13,13,68,17,67,13,13,80,73,67,26,13,13,31,13,13,13,13,13,31,31,13,13,13
104.04,Estimate,223,52,36,36,0,0,0,16,0,0,0,0,0,16,16,0,0,0,171,95,71,18,6,0,76,23,23,0,0,0,53,23,30,0,0
104.04,Margin of Error,83,35,30,30,13,13,13,18,13,13,13,13,13,18,18,13,13,13,75,48,46,20,5,13,58,23,23,13,13,13,52,22,45,13,13
104.05,Estimate,187,20,10,10,0,0,0,10,0,0,0,0,0,10,5,5,0,0,167,39,31,8,0,0,128,29,14,15,0,0,99,24,62,13,0
104.05,Margin of Error,94,14,8,8,19,19,19,10,19,19,19,19,19,10,7,7,19,19,93,21,19,11,19,19,90,24,18,19,19,19,87,20,83,20,19
104.08,Estimate,97,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,63,51,5,7,0,28,4,4,0,0,0,24,23,1,0,0
104.08,Margin of Error,32,10,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,31,25,21,8,14,13,20,6,6,13,13,13,18,19,6,13,13
105,Estimate,311,69,50,40,10,0,0,19,7,7,0,0,0,12,12,0,0,0,242,145,87,58,0,0,97,5,5,0,0,0,92,33,59,0,0
105,Margin of Error,80,31,28,24,15,13,13,18,11,11,13,13,13,13,13,13,13,13,71,72,50,48,13,13,43,8,8,13,13,13,42,37,44,13,13
106,Estimate,639,79,0,0,0,0,0,79,0,0,0,0,0,79,79,0,0,0,560,465,390,75,0,0,95,12,12,0,0,0,83,71,12,0,0
106,Margin of Error,167,88,13,13,13,13,13,88,13,13,13,13,13,88,88,13,13,13,155,134,111,64,13,13,74,23,23,13,13,13,70,67,20,13,13
107.01,Estimate,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,292,237,46,9,0,41,14,14,0,0,0,27,7,20,0,0
107.01,Margin of Error,79,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,79,80,73,33,14,13,24,21,21,13,13,13,15,9,13,13,13
107.02,Estimate,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537,509,380,111,18,0,28,0,0,0,0,0,28,17,11,0,0
107.02,Margin of Error,109,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,109,105,109,48,10,13,26,13,13,13,13,13,26,19,18,13,13
108.01,Estimate,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465,427,319,84,24,0,38,15,15,0,0,0,23,0,23,0,0
108.01,Margin of Error,112,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,112,111,89,54,19,13,36,24,24,13,13,13,25,13,25,13,13
108.02,Estimate,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580,507,410,85,12,0,73,38,28,10,0,0,35,30,5,0,0
108.02,Margin of Error,138,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,138,142,139,48,15,13,51,41,37,15,13,13,30,27,9,13,13
201.01,Estimate,760,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748,737,552,101,84,0,11,0,0,0,0,0,11,11,0,0,0
201.01,Margin of Error,240,19,19,19,13,13,13,13,13,13,13,13,13,13,13,13,13,13,237,233,225,76,43,13,17,13,13,13,13,13,17,17,13,13,13
202,Estimate,457,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442,424,260,149,0,15,18,9,9,0,0,0,9,9,0,0,0
202,Margin of Error,137,25,25,25,13,13,13,13,13,13,13,13,13,13,13,13,13,13,136,136,102,103,13,23,21,14,14,13,13,13,15,15,13,13,13
203.01,Estimate,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,281,222,59,0,0,33,0,0,0,0,0,33,33,0,0,0
203.01,Margin of Error,91,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,91,88,82,37,13,13,48,13,13,13,13,13,48,48,13,13,13
203.02,Estimate,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,120,59,61,0,0,12,7,5,2,0,0,5,0,5,0,0
203.02,Margin of Error,36,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,36,35,26,34,13,13,11,7,7,3,13,13,8,13,8,13,13
203.04,Estimate,166,36,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,109,21,0,0,0,0,0,0,0,0,0,0,0,0,0
203.04,Margin of Error,69,56,56,56,13,13,13,13,13,13,13,13,13,13,13,13,13,13,62,62,57,24,13,13,13,13,13,13,13,13,13,13,13,13,13
203.05,Estimate,706,49,16,16,0,0,0,33,25,25,0,0,0,8,8,0,0,0,657,572,406,166,0,0,85,17,17,0,0,0,68,42,0,26,0
203.05,Margin of Error,167,47,24,24,13,13,13,41,39,39,13,13,13,13,13,13,13,13,172,145,121,89,13,13,73,21,21,13,13,13,70,55,13,42,13
301,Estimate,168,33,33,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,135,135,126,0,0,9,0,0,0,0,0,0,0,0,0,0,0
301,Margin of Error,77,51,51,13,51,13,13,13,13,13,13,13,13,13,13,13,13,13,55,55,54,13,13,14,13,13,13,13,13,13,13,13,13,13,13
302,Estimate,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,217,192,25,0,0,51,7,7,0,0,0,44,36,8,0,0
302,Margin of Error,83,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,83,70,69,10,13,13,45,12,12,13,13,13,42,42,12,13,13
303.01,Estimate,461,26,26,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,435,412,346,66,0,0,23,0,0,0,0,0,23,23,0,0,0
303.01,Margin of Error,186,28,28,8,27,13,13,13,13,13,13,13,13,13,13,13,13,13,187,189,182,61,13,13,41,13,13,13,13,13,41,41,13,13,13
303.02,Estimate,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,267,214,53,0,0,15,15,0,15,0,0,0,0,0,0,0
303.02,Margin of Error,114,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,114,112,91,61,13,13,24,24,13,24,13,13,13,13,13,13,13
304,Estimate,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423,373,192,181,0,0,50,42,29,13,0,0,8,8,0,0,0
304,Margin of Error,87,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,87,83,80,71,13,13,54,51,47,20,13,13,12,12,13,13,13
305,Estimate,329,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,277,175,82,20,0,34,10,10,0,0,0,24,24,0,0,0
305,Margin of Error,85,29,29,29,13,13,13,13,13,13,13,13,13,13,13,13,13,13,82,76,69,41,8,13,25,14,14,13,13,13,20,20,13,13,13
401,Estimate,512,12,0,0,0,0,0,12,7,7,0,0,0,5,5,0,0,0,500,440,223,160,57,0,60,10,10,0,0,0,50,46,4,0,0
401,Margin of Error,102,11,13,13,13,13,13,11,12,12,13,13,13,8,8,13,13,13,102,90,64,83,34,13,53,18,18,13,13,13,49,51,8,13,13
402,Estimate,487,62,19,7,0,12,0,43,0,0,0,0,0,43,16,21,6,0,425,271,83,159,29,0,154,57,24,33,0,0,97,31,66,0,0
402,Margin of Error,111,42,20,10,13,17,13,37,13,13,13,13,13,37,16,32,13,13,114,101,34,103,23,13,53,33,37,46,13,13,39,21,35,13,13
403,Estimate,1172,93,32,0,0,32,0,61,0,0,0,0,0,61,37,24,0,0,1079,831,408,338,85,0,248,91,47,44,0,0,157,75,62,20,0
403,Margin of Error,182,66,44,13,13,44,13,69,13,13,13,13,13,69,56,39,13,13,171,183,126,104,70,13,103,60,52,41,13,13,80,61,54,30,13
404.01,Estimate,737,7,2,0,2,0,0,5,0,0,0,0,0,5,5,0,0,0,730,534,218,273,43,0,196,74,18,56,0,0,122,34,88,0,0
404.01,Margin of Error,178,10,6,13,6,13,13,8,13,13,13,13,13,8,8,13,13,13,178,135,89,103,34,13,124,64,29,58,13,13,112,44,100,13,13
406,Estimate,729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729,626,274,337,7,8,103,24,24,0,0,0,79,65,0,14,0
406,Margin of Error,133,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,133,133,81,102,12,13,55,30,30,13,13,13,47,41,13,19,13
408.01,Estimate,1049,209,98,16,0,82,0,111,0,0,0,0,0,111,58,53,0,0,840,684,445,189,50,0,156,62,0,62,0,0,94,84,4,6,0
408.01,Margin of Error,181,100,62,13,13,62,13,80,13,13,13,13,13,80,52,60,13,13,178,149,117,67,80,13,99,84,13,84,13,13,59,58,7,15,13
501.01,Estimate,1229,113,22,12,10,0,0,91,0,0,0,0,0,91,48,28,15,0,1116,640,216,187,209,28,476,209,81,40,54,34,267,131,100,36,0
501.01,Margin of Error,192,55,25,18,18,19,19,50,19,19,19,19,19,50,37,34,21,19,184,196,107,87,148,25,126,110,61,46,59,51,94,80,75,35,19
502,Estimate,1022,116,37,0,12,25,0,79,27,0,0,27,0,52,19,33,0,0,906,517,143,270,104,0,389,171,92,45,34,0,218,125,55,0,38
502,Margin of Error,173,91,45,19,19,41,19,82,41,19,19,41,19,67,34,56,19,19,171,153,92,113,81,19,152,105,86,54,38,19,113,84,39,19,57
503,Estimate,641,126,74,37,37,0,0,52,0,0,0,0,0,52,29,0,23,0,515,413,174,204,35,0,102,31,31,0,0,0,71,7,49,15,0
503,Margin of Error,134,68,49,39,35,13,13,53,13,13,13,13,13,53,41,13,35,13,126,129,91,85,37,13,61,44,44,13,13,13,45,11,38,20,13
504,Estimate,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,210,125,42,43,0,117,49,35,0,14,0,68,25,34,9,0
504,Margin of Error,87,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,87,63,60,36,46,13,62,43,36,13,24,13,47,23,38,11,13
505,Estimate,375,21,0,0,0,0,0,21,0,0,0,0,0,21,21,0,0,0,354,238,117,110,11,0,116,54,2,0,18,34,62,28,34,0,0
505,Margin of Error,74,27,13,13,13,13,13,27,13,13,13,13,13,27,27,13,13,13,73,68,49,53,15,13,51,48,10,13,20,47,50,29,39,13,13
506,Estimate,449,36,0,0,0,0,0,36,0,0,0,0,0,36,0,36,0,0,413,216,101,34,81,0,197,96,29,67,0,0,101,73,28,0,0
506,Margin of Error,106,38,13,13,13,13,13,38,13,13,13,13,13,38,13,38,13,13,102,82,46,32,59,13,89,76,37,65,13,13,55,55,30,13,13
507,Estimate,912,132,38,0,8,30,0,94,31,0,31,0,0,63,63,0,0,0,780,443,97,251,95,0,337,100,50,50,0,0,237,97,131,0,9
507,Margin of Error,166,83,50,13,13,48,13,69,46,13,46,13,13,54,54,13,13,13,152,130,56,113,80,13,140,79,48,63,13,13,135,89,103,13,17
509.01,Estimate,966,58,0,0,0,0,0,58,34,34,0,0,0,24,0,0,24,0,908,470,207,203,60,0,438,159,80,79,0,0,279,172,77,30,0
509.01,Margin of Error,197,63,13,13,13,13,13,63,53,53,13,13,13,38,13,13,38,13,193,138,87,101,58,13,210,106,60,83,13,13,181,153,69,39,13
510,Estimate,1112,103,46,14,32,0,0,57,0,0,0,0,0,57,13,44,0,0,1009,580,274,245,61,0,429,156,107,15,34,0,273,181,54,38,0
510,Margin of Error,234,51,44,21,38,13,13,51,13,13,13,13,13,51,22,44,13,13,233,169,147,94,52,13,176,95,77,23,53,13,143,130,53,42,13
511.01,Estimate,1258,149,28,0,0,28,0,121,48,48,0,0,0,73,0,43,30,0,1109,708,173,466,69,0,401,108,108,0,0,0,293,87,179,27,0
511.01,Margin of Error,196,117,45,19,19,45,19,112,73,73,19,19,19,87,19,71,48,19,216,185,94,165,57,19,153,110,110,19,19,19,142,67,117,34,19
512,Estimate,606,46,34,0,0,34,0,12,0,0,0,0,0,12,0,12,0,0,560,418,285,128,5,0,142,73,37,36,0,0,69,21,48,0,0
512,Margin of Error,147,31,26,13,13,26,13,19,13,13,13,13,13,19,13,19,13,13,145,139,124,74,10,13,81,67,33,57,13,13,52,30,49,13,13
601.01,Estimate,668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668,508,268,184,56,0,160,50,39,11,0,0,110,83,19,8,0
601.01,Margin of Error,127,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,127,123,81,96,46,13,86,53,50,18,13,13,62,60,20,14,13
602,Estimate,298,6,0,0,0,0,0,6,0,0,0,0,0,6,0,6,0,0,292,196,132,43,21,0,96,40,34,0,4,2,56,47,9,0,0
602,Margin of Error,63,9,13,13,13,13,13,9,13,13,13,13,13,9,13,9,13,13,64,50,44,26,17,13,45,33,32,13,7,7,33,29,12,13,13
603.01,Estimate,510,47,36,36,0,0,0,11,0,0,0,0,0,11,0,11,0,0,463,361,151,205,5,0,102,12,12,0,0,0,90,50,11,0,29
603.01,Margin of Error,137,60,56,56,13,13,13,18,13,13,13,13,13,18,13,18,13,13,122,117,65,96,10,13,68,14,14,13,13,13,64,44,14,13,44
604,Estimate,766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,766,598,191,388,19,0,168,40,40,0,0,0,128,111,17,0,0
604,Margin of Error,222,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,222,201,88,184,30,13,108,63,63,13,13,13,85,84,27,13,13
605.01,Estimate,714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,630,290,327,0,13,84,14,14,0,0,0,70,48,22,0,0
605.01,Margin of Error,169,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,169,149,115,131,13,21,70,23,23,13,13,13,66,56,34,13,13
606.01,Estimate,428,42,22,22,0,0,0,20,0,0,0,0,0,20,0,20,0,0,386,308,243,65,0,0,78,0,0,0,0,0,78,34,44,0,0
606.01,Margin of Error,202,39,35,35,13,13,13,19,13,13,13,13,13,19,13,19,13,13,201,198,192,47,13,13,66,13,13,13,13,13,66,51,39,13,13
606.02,Estimate,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,31,23,8,0,0,5,5,5,0,0,0,0,0,0,0,0
606.02,Margin of Error,29,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,29,28,26,12,13,13,8,8,8,13,13,13,13,13,13,13,13
606.03,Estimate,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,152,125,27,0,0,30,7,7,0,0,0,23,0,23,0,0
606.03,Margin of Error,68,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,68,69,62,29,13,13,24,12,12,13,13,13,21,13,21,13,13
606.04,Estimate,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,396,358,30,8,0,68,49,49,0,0,0,19,19,0,0,0
