Census Tract,Value,Total,Income in the past 12 months below poverty level,Married-couple family below poverty,Married-couple family below poverty: 2 people,Married-couple family below poverty: 3 to 4 people,Married-couple family below poverty: 5 to 6 people,Married-couple family below poverty: 7 or more people,Other families below poverty,"Male householder, no spouse present below poverty",Male householder below poverty: 2 people,Male householder below poverty: 3 to 4 people,Male householder below poverty: 5 to 6 people,Male householder below poverty: 7 or more people,"Female householder, no spouse present below poverty",Female householder below poverty: 2 people,Female householder below poverty: 3 to 4 people,Female householder below poverty: 5 to 6 people,Female householder below poverty: 7 or more people,Income in the past 12 months at or above poverty level,Married-couple family above poverty,Married-couple family above poverty: 2 people,Married-couple family above poverty: 3 to 4 people,Married-couple family above poverty: 5 to 6 people,Married-couple family above poverty: 7 or more people,Other families above poverty,"Male householder, no spouse present above poverty",Male householder above poverty: 2 people,Male householder above poverty: 3 to 4 people,Male householder above poverty: 5 to 6 people,Male householder above poverty: 7 or more people,"Female householder, no spouse present above poverty",Female householder above poverty: 2 people,Female householder above poverty: 3 to 4 people,Female householder above poverty: 5 to 6 people,Female householder above poverty: 7 or more people
1010.02,Estimate,1686,331,47,0,27,20,0,284,0,0,0,0,0,284,92,153,39,0,1355,570,175,278,117,0,785,72,72,0,0,0,713,449,264,0,0
1010.02,Margin of Error,341,144,49,19,35,33,19,137,19,19,19,19,19,137,74,116,59,19,345,189,117,134,110,19,315,66,66,19,19,19,310,294,136,19,19
1011.01,Estimate,918,81,15,0,15,0,0,66,22,22,0,0,0,44,15,20,9,0,837,463,41,339,46,37,374,158,125,0,33,0,216,70,120,26,0
1011.01,Margin of Error,143,50,23,13,23,13,13,47,26,26,13,13,13,41,22,31,20,13,138,144,45,117,58,56,136,110,99,13,49,13,104,58,82,35,13
1011.02,Estimate,1198,239,47,0,0,47,0,192,0,0,0,0,0,192,42,89,30,31,959,414,102,210,75,27,545,142,92,10,19,21,403,205,162,36,0
1011.02,Margin of Error,189,88,34,19,19,34,19,97,19,19,19,19,19,97,37,63,50,48,184,125,71,109,63,47,175,108,101,19,31,33,141,101,107,39,19
1101.04,Estimate,502,214,0,0,0,0,0,214,0,0,0,0,0,214,48,166,0,0,288,72,48,0,8,16,216,124,68,0,56,0,92,36,55,1,0
1101.04,Margin of Error,151,76,13,13,13,13,13,76,13,13,13,13,13,76,79,80,13,13,156,89,79,13,28,31,157,115,106,13,59,13,89,71,58,35,13
1101.05,Estimate,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,377,231,113,33,0,62,20,20,0,0,0,42,19,23,0,0
1101.05,Margin of Error,200,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,200,197,159,106,17,13,56,34,34,13,13,13,43,31,35,13,13
1101.06,Estimate,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404,387,282,68,37,0,17,0,0,0,0,0,17,15,2,0,0
1101.06,Margin of Error,316,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,316,313,312,70,23,13,30,13,13,13,13,13,30,25,18,13,13
1102.01,Estimate,580,51,3,0,3,0,0,48,17,17,0,0,0,31,24,7,0,0,529,316,30,218,46,22,213,24,5,19,0,0,189,80,79,30,0
1102.01,Margin of Error,107,38,6,13,6,13,13,39,24,24,13,13,13,27,24,11,13,13,107,94,25,103,42,19,68,23,10,21,13,13,61,47,45,28,13
1103.01,Estimate,641,13,0,0,0,0,0,13,0,0,0,0,0,13,12,1,0,0,628,439,117,256,66,0,189,52,49,3,0,0,137,65,72,0,0
1103.01,Margin of Error,93,14,13,13,13,13,13,14,13,13,13,13,13,14,13,4,13,13,94,91,50,77,35,13,76,42,42,6,13,13,66,52,43,13,13
1104.01,Estimate,1068,107,10,0,0,10,0,97,40,19,21,0,0,57,53,4,0,0,961,530,163,325,32,10,431,45,45,0,0,0,386,235,151,0,0
1104.01,Margin of Error,131,67,19,13,13,19,13,69,49,30,36,13,13,63,63,6,13,13,141,156,81,144,34,16,157,46,46,13,13,13,143,141,81,13,13
1104.03,Estimate,1203,62,14,10,0,4,0,48,16,0,16,0,0,32,32,0,0,0,1141,836,268,532,36,0,305,107,70,22,15,0,198,115,73,10,0
1104.03,Margin of Error,185,46,17,15,13,8,13,43,26,13,26,13,13,37,37,13,13,13,189,157,95,143,29,13,94,59,54,26,24,13,83,68,53,16,13
1105.01,Estimate,812,13,0,0,0,0,0,13,0,0,0,0,0,13,0,13,0,0,799,568,209,335,24,0,231,69,28,41,0,0,162,71,91,0,0
1105.01,Margin of Error,182,21,13,13,13,13,13,21,13,13,13,13,13,21,13,21,13,13,182,181,121,136,29,13,99,60,27,57,13,13,73,55,67,13,13
1105.02,Estimate,1176,55,0,0,0,0,0,55,0,0,0,0,0,55,44,11,0,0,1121,700,214,413,73,0,421,299,209,85,5,0,122,68,42,12,0
1105.02,Margin of Error,273,70,13,13,13,13,13,70,13,13,13,13,13,70,68,16,13,13,260,135,78,113,51,13,270,264,223,83,8,13,56,47,31,19,13
1106.01,Estimate,806,11,0,0,0,0,0,11,0,0,0,0,0,11,11,0,0,0,795,681,375,189,117,0,114,9,0,9,0,0,105,98,0,7,0
1106.01,Margin of Error,142,18,13,13,13,13,13,18,13,13,13,13,13,18,18,13,13,13,145,130,132,70,69,13,71,15,13,15,13,13,70,68,13,11,13
1106.07,Estimate,1314,24,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1290,1045,308,632,105,0,245,38,25,13,0,0,207,136,58,13,0
1106.07,Margin of Error,210,39,39,19,39,19,19,19,19,19,19,19,19,19,19,19,19,19,211,226,123,221,85,19,128,43,38,22,19,19,121,93,83,21,19
1201.03,Estimate,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404,370,146,215,9,0,34,19,0,19,0,0,15,13,2,0,0
1201.03,Margin of Error,61,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,61,59,39,50,12,13,29,20,13,20,13,13,19,19,4,13,13
1201.04,Estimate,502,42,0,0,0,0,0,42,0,0,0,0,0,42,0,30,12,0,460,378,188,154,36,0,82,0,0,0,0,0,82,44,38,0,0
1201.04,Margin of Error,106,30,13,13,13,13,13,30,13,13,13,13,13,30,13,26,20,13,111,109,73,60,58,13,43,13,13,13,13,13,43,31,28,13,13
1201.05,Estimate,556,37,0,0,0,0,0,37,0,0,0,0,0,37,37,0,0,0,519,484,270,192,22,0,35,15,7,8,0,0,20,6,14,0,0
1201.05,Margin of Error,76,48,13,13,13,13,13,48,13,13,13,13,13,48,48,13,13,13,62,59,58,50,14,13,22,16,10,12,13,13,17,10,13,13,13
1202.01,Estimate,798,18,0,0,0,0,0,18,0,0,0,0,0,18,18,0,0,0,780,584,274,240,70,0,196,71,50,21,0,0,125,125,0,0,0
1202.01,Margin of Error,133,29,13,13,13,13,13,29,13,13,13,13,13,29,29,13,13,13,131,110,100,86,66,13,74,54,46,30,13,13,55,55,13,13,13
1203.01,Estimate,979,28,0,0,0,0,0,28,0,0,0,0,0,28,0,28,0,0,951,669,331,288,50,0,282,81,81,0,0,0,201,125,76,0,0
1203.01,Margin of Error,228,40,19,19,19,19,19,40,19,19,19,19,19,40,19,40,19,19,228,215,177,102,63,19,158,74,74,19,19,19,135,110,95,19,19
1204,Estimate,1286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1286,1079,571,484,24,0,207,0,0,0,0,0,207,193,0,14,0
1204,Margin of Error,197,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,197,193,151,139,31,19,128,19,19,19,19,19,128,130,19,23,19
1205,Estimate,413,41,20,0,20,0,0,21,0,0,0,0,0,21,17,4,0,0,372,262,137,89,20,16,110,19,18,0,1,0,91,31,60,0,0
1205,Margin of Error,81,33,23,13,23,13,13,30,13,13,13,13,13,30,27,12,13,13,74,74,59,45,31,20,44,27,26,13,2,13,42,28,46,13,13
1206,Estimate,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640,482,400,62,15,5,158,56,56,0,0,0,102,35,67,0,0
1206,Margin of Error,194,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,194,190,192,35,14,9,82,47,47,13,13,13,71,39,64,13,13
1207,Estimate,422,8,0,0,0,0,0,8,8,8,0,0,0,0,0,0,0,0,414,309,172,120,17,0,105,0,0,0,0,0,105,89,16,0,0
1207,Margin of Error,119,14,13,13,13,13,13,14,14,14,13,13,13,13,13,13,13,13,118,80,57,45,26,13,102,13,13,13,13,13,102,93,20,13,13
1301.01,Estimate,1386,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1376,958,382,487,89,0,418,98,47,51,0,0,320,246,74,0,0
1301.01,Margin of Error,271,16,16,19,16,19,19,19,19,19,19,19,19,19,19,19,19,19,272,159,115,115,67,19,235,72,49,50,19,19,230,236,65,19,19
1302,Estimate,1268,37,0,0,0,0,0,37,0,0,0,0,0,37,30,7,0,0,1231,1026,478,452,96,0,205,33,33,0,0,0,172,159,13,0,0
1302,Margin of Error,151,44,13,13,13,13,13,44,13,13,13,13,13,44,41,12,13,13,154,149,131,126,45,13,90,33,33,13,13,13,92,96,15,13,13
1303,Estimate,1222,32,12,12,0,0,0,20,0,0,0,0,0,20,20,0,0,0,1190,1136,596,394,146,0,54,12,12,0,0,0,42,32,10,0,0
1303,Margin of Error,194,28,21,21,13,13,13,20,13,13,13,13,13,20,20,13,13,13,195,188,170,111,43,13,37,20,20,13,13,13,32,27,16,13,13
1304.02,Estimate,1262,17,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1245,1093,435,465,193,0,152,70,35,0,35,0,82,53,14,15,0
1304.02,Margin of Error,259,26,26,19,26,19,19,19,19,19,19,19,19,19,19,19,19,19,256,243,136,232,91,19,101,80,40,19,55,19,58,44,23,24,19
1304.04,Estimate,771,62,39,29,10,0,0,23,0,0,0,0,0,23,0,23,0,0,709,600,294,234,72,0,109,46,33,13,0,0,63,33,30,0,0
1304.04,Margin of Error,97,52,36,31,17,13,13,35,13,13,13,13,13,35,13,35,13,13,100,105,103,95,38,13,60,35,28,21,13,13,45,30,31,13,13
1304.06,Estimate,1604,180,0,0,0,0,0,180,0,0,0,0,0,180,62,118,0,0,1424,696,233,300,163,0,728,202,149,53,0,0,526,345,172,9,0
1304.06,Margin of Error,328,214,19,19,19,19,19,214,19,19,19,19,19,214,96,189,19,19,253,204,138,135,98,19,272,183,177,62,19,19,228,233,152,18,19
1401.02,Estimate,1289,85,18,4,14,0,0,67,0,0,0,0,0,67,0,67,0,0,1204,794,204,345,242,3,410,73,9,27,37,0,337,62,151,116,8
1401.02,Margin of Error,215,68,23,7,22,19,19,69,19,19,19,19,19,69,19,69,19,19,218,151,80,124,83,7,183,45,13,30,33,19,171,56,87,137,14
1401.05,Estimate,899,74,0,0,0,0,0,74,0,0,0,0,0,74,43,31,0,0,825,366,100,213,42,11,459,77,43,34,0,0,382,168,214,0,0
1401.05,Margin of Error,159,61,13,13,13,13,13,61,13,13,13,13,13,61,46,38,13,13,170,97,57,81,36,18,170,59,42,41,13,13,157,92,132,13,13
1401.06,Estimate,567,119,27,27,0,0,0,92,0,0,0,0,0,92,22,37,33,0,448,199,58,110,21,10,249,79,11,68,0,0,170,87,81,2,0
1401.06,Margin of Error,85,58,25,25,13,13,13,49,13,13,13,13,13,49,25,41,32,13,87,53,41,47,17,13,84,55,13,50,13,13,80,64,51,17,13
1401.07,Estimate,717,52,7,7,0,0,0,45,0,0,0,0,0,45,8,32,5,0,665,440,161,245,24,10,225,59,0,59,0,0,166,84,78,0,4
1401.07,Margin of Error,116,37,12,12,13,13,13,34,13,13,13,13,13,34,13,30,10,13,117,94,71,85,24,17,96,47,13,47,13,13,86,61,61,13,13
1402.01,Estimate,653,43,13,5,8,0,0,30,8,0,8,0,0,22,10,0,0,12,610,493,67,366,60,0,117,22,4,8,10,0,95,60,35,0,0
1402.01,Margin of Error,193,30,16,8,13,13,13,27,11,13,11,13,13,24,14,13,13,18,196,196,44,131,90,13,52,19,7,13,13,13,49,40,36,13,13
1402.02,Estimate,1575,52,8,0,8,0,0,44,0,0,0,0,0,44,10,34,0,0,1523,918,352,433,131,2,605,83,26,57,0,0,522,228,294,0,0
1402.02,Margin of Error,169,52,13,19,13,19,19,51,19,19,19,19,19,51,16,49,19,19,169,206,133,160,86,8,144,71,31,65,19,19,127,98,125,19,19
1403,Estimate,1950,397,111,12,44,55,0,286,59,59,0,0,0,227,106,121,0,0,1553,998,243,533,119,103,555,107,90,17,0,0,448,145,303,0,0
1403,Margin of Error,375,241,98,26,72,59,19,237,98,98,19,19,19,225,167,134,19,19,396,360,201,259,122,86,282,146,141,34,19,19,215,112,191,19,19
1404,Estimate,2054,273,118,28,90,0,0,155,0,0,0,0,0,155,79,67,9,0,1781,844,334,354,116,40,937,341,48,293,0,0,596,268,306,22,0
1404,Margin of Error,263,165,115,49,106,19,19,122,19,19,19,19,19,122,77,79,31,19,273,291,178,198,109,62,300,211,66,196,19,19,247,172,161,36,19
1601.02,Estimate,733,120,37,37,0,0,0,83,28,0,28,0,0,55,30,0,0,25,613,416,124,130,134,28,197,35,0,0,35,0,162,29,133,0,0
1601.02,Margin of Error,171,88,58,58,13,13,13,71,43,13,43,13,13,60,49,13,13,41,180,174,146,89,75,25,120,61,13,13,61,13,95,36,87,13,13
1601.03,Estimate,857,304,44,0,0,44,0,260,33,0,0,0,33,227,69,36,37,85,553,364,32,181,84,67,189,121,45,76,0,0,68,0,68,0,0
1601.03,Margin of Error,175,120,73,19,19,73,19,129,47,19,19,19,47,130,72,44,57,95,171,168,37,140,90,65,111,97,33,96,19,19,65,19,65,19,19
1602,Estimate,767,141,113,44,36,33,0,28,8,8,0,0,0,20,0,0,0,20,626,338,27,233,61,17,288,84,42,42,0,0,204,68,136,0,0
1602,Margin of Error,169,78,75,50,36,40,13,36,15,15,13,13,13,30,13,13,13,30,163,149,25,118,54,25,120,69,54,48,13,13,117,65,95,13,13
1603,Estimate,375,51,13,5,8,0,0,38,0,0,0,0,0,38,7,31,0,0,324,298,230,68,0,0,26,0,0,0,0,0,26,26,0,0,0
1603,Margin of Error,91,46,18,10,15,13,13,42,13,13,13,13,13,42,12,40,13,13,96,95,90,47,13,13,23,13,13,13,13,13,23,23,13,13,13
1604,Estimate,567,72,18,0,18,0,0,54,0,0,0,0,0,54,0,30,0,24,495,350,214,83,53,0,145,34,17,17,0,0,111,14,97,0,0
1604,Margin of Error,98,59,27,13,27,13,13,52,13,13,13,13,13,52,13,40,13,34,96,96,92,54,59,13,70,40,30,25,13,13,63,18,61,13,13
1605.01,Estimate,1234,79,22,0,22,0,0,57,19,0,0,19,0,38,23,3,12,0,1155,699,205,193,263,38,456,228,114,104,0,10,228,78,52,98,0
1605.01,Margin of Error,210,65,37,19,37,19,19,55,33,19,19,33,19,40,34,11,19,19,203,158,132,97,92,51,166,111,76,79,19,15,136,45,55,124,19
1605.02,Estimate,1006,329,111,0,51,60,0,218,54,27,27,0,0,164,59,92,0,13,677,478,82,297,99,0,199,6,0,6,0,0,193,48,145,0,0
1605.02,Margin of Error,172,134,88,19,72,56,19,94,59,43,37,19,19,71,60,63,19,21,160,113,55,108,52,19,127,11,19,11,19,19,127,54,111,19,19
1606.01,Estimate,893,52,9,0,0,9,0,43,12,12,0,0,0,31,0,31,0,0,841,499,172,140,104,83,342,104,33,28,43,0,238,120,63,55,0
1606.01,Margin of Error,155,52,14,19,19,14,19,52,19,19,19,19,19,48,19,48,19,19,157,150,82,74,70,105,132,69,37,31,58,19,115,71,45,82,19
1606.02,Estimate,1038,200,95,4,26,65,0,105,18,18,0,0,0,87,87,0,0,0,838,620,93,356,153,18,218,69,35,8,0,26,149,25,90,0,34
1606.02,Margin of Error,151,86,55,6,31,49,19,63,30,30,19,19,19,66,66,19,19,19,173,153,57,129,86,22,100,50,33,14,19,36,88,37,69,19,49
1701.01,Estimate,914,32,0,0,0,0,0,32,0,0,0,0,0,32,0,32,0,0,882,612,163,414,35,0,270,204,95,109,0,0,66,30,16,20,0
1701.01,Margin of Error,175,50,13,13,13,13,13,50,13,13,13,13,13,50,13,50,13,13,182,164,123,133,35,13,144,141,81,119,13,13,59,39,22,34,13
1701.02,Estimate,1142,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1110,843,356,371,104,12,267,174,122,0,0,52,93,40,37,16,0
1701.02,Margin of Error,258,56,56,56,19,19,19,19,19,19,19,19,19,19,19,19,19,19,256,233,190,179,98,26,144,126,134,19,19,56,67,41,46,31,19
1702,Estimate,1104,192,66,34,15,17,0,126,0,0,0,0,0,126,45,81,0,0,912,556,126,317,86,27,356,128,55,73,0,0,228,121,102,5,0
1702,Margin of Error,174,112,53,36,24,30,13,99,13,13,13,13,13,99,39,88,13,13,165,145,101,120,59,41,125,90,62,64,13,13,92,72,54,8,13
1703.01,Estimate,1768,134,0,0,0,0,0,134,84,84,0,0,0,50,0,50,0,0,1634,1145,311,760,34,40,489,211,53,137,0,21,278,78,92,108,0
1703.01,Margin of Error,384,145,19,19,19,19,19,145,131,131,19,19,19,65,19,65,19,19,362,376,129,368,41,56,169,100,69,61,19,33,166,83,112,124,19
1703.02,Estimate,840,181,62,0,62,0,0,119,0,0,0,0,0,119,101,18,0,0,659,547,140,322,85,0,112,95,55,40,0,0,17,17,0,0,0
1703.02,Margin of Error,213,173,77,13,77,13,13,151,13,13,13,13,13,151,150,32,13,13,207,182,84,171,45,13,96,88,73,55,13,13,38,38,13,13,13
1704,Estimate,1189,86,86,12,20,54,0,0,0,0,0,0,0,0,0,0,0,0,1103,767,247,357,146,17,336,121,55,0,66,0,215,165,50,0,0
1704,Margin of Error,182,68,68,21,30,60,19,19,19,19,19,19,19,19,19,19,19,19,190,165,109,116,90,31,147,95,57,19,76,19,126,115,47,19,19
1705.02,Estimate,644,95,39,0,39,0,0,56,0,0,0,0,0,56,42,0,14,0,549,387,207,170,10,0,162,40,11,29,0,0,122,69,11,31,11
1705.02,Margin of Error,180,89,60,13,60,13,13,69,13,13,13,13,13,69,65,13,23,13,158,146,86,113,13,13,71,38,17,33,13,13,66,39,18,46,17
1705.03,Estimate,380,61,15,9,6,0,0,46,0,0,0,0,0,46,26,20,0,0,319,170,107,49,11,3,149,34,34,0,0,0,115,72,0,43,0
1705.03,Margin of Error,80,61,48,15,46,13,13,54,13,13,13,13,13,54,44,32,13,13,95,87,67,58,18,11,117,53,53,13,13,13,96,76,13,34,13
1705.04,Estimate,585,12,0,0,0,0,0,12,0,0,0,0,0,12,12,0,0,0,573,485,244,137,59,45,88,64,41,12,11,0,24,11,13,0,0
1705.04,Margin of Error,163,18,13,13,13,13,13,18,13,13,13,13,13,18,18,13,13,13,161,152,85,97,63,73,72,66,55,24,17,13,29,17,23,13,13
1706.01,Estimate,1373,46,17,17,0,0,0,29,0,0,0,0,0,29,18,11,0,0,1327,870,194,401,259,16,457,85,17,68,0,0,372,45,185,142,0
1706.01,Margin of Error,158,33,17,17,19,19,19,27,19,19,19,19,19,27,20,16,19,19,157,201,84,145,146,25,149,63,24,58,19,19,147,35,101,98,19
1707.01,Estimate,501,67,9,0,9,0,0,58,10,10,0,0,0,48,37,11,0,0,434,360,133,152,69,6,74,17,17,0,0,0,57,5,52,0,0
1707.01,Margin of Error,119,49,19,13,19,13,13,47,14,14,13,13,13,46,42,18,13,13,111,113,65,76,58,10,43,18,18,13,13,13,43,9,42,13,13
1707.02,Estimate,1443,386,123,66,57,0,0,263,147,0,147,0,0,116,49,67,0,0,1057,751,317,260,174,0,306,83,83,0,0,0,223,119,104,0,0
1707.02,Margin of Error,311,227,104,65,85,19,19,204,194,19,194,19,19,113,78,80,19,19,232,210,181,161,83,19,138,106,106,19,19,19,105,86,87,19,19
1708,Estimate,1565,256,55,14,41,0,0,201,45,45,0,0,0,156,156,0,0,0,1309,917,415,400,85,17,392,92,46,46,0,0,300,106,141,53,0
1708,Margin of Error,243,175,52,25,47,19,19,171,73,73,19,19,19,148,148,19,19,19,219,221,165,158,80,28,159,73,55,53,19,19,166,81,153,65,19
1801.01,Estimate,1292,75,13,13,0,0,0,62,56,0,56,0,0,6,6,0,0,0,1217,901,438,385,78,0,316,114,17,97,0,0,202,63,139,0,0
1801.01,Margin of Error,257,88,22,22,19,19,19,87,86,19,86,19,19,10,10,19,19,19,254,215,166,160,46,19,169,106,26,103,19,19,142,75,141,19,19
1802,Estimate,1073,102,39,0,39,0,0,63,63,11,52,0,0,0,0,0,0,0,971,709,231,349,129,0,262,63,22,0,41,0,199,119,80,0,0
1802,Margin of Error,138,91,62,13,62,13,13,64,64,17,64,13,13,13,13,13,13,13,131,129,93,91,85,13,103,47,24,13,39,13,92,69,66,13,13
1803.01,Estimate,758,28,28,7,21,0,0,0,0,0,0,0,0,0,0,0,0,0,730,613,271,250,89,3,117,24,0,24,0,0,93,72,11,10,0
1803.01,Margin of Error,113,33,33,12,31,13,13,13,13,13,13,13,13,13,13,13,13,13,115,131,91,83,56,9,59,29,13,29,13,13,60,51,18,16,13
1804,Estimate,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,302,150,114,38,0,120,0,0,0,0,0,120,46,74,0,0
1804,Margin of Error,87,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,87,81,69,45,23,13,61,13,13,13,13,13,61,42,45,13,13
1805,Estimate,1018,39,12,0,5,0,7,27,17,17,0,0,0,10,0,10,0,0,979,629,281,267,81,0,350,146,146,0,0,0,204,97,107,0,0
1805,Margin of Error,136,35,15,13,9,13,12,31,27,27,13,13,13,16,13,16,13,13,137,133,82,106,42,13,123,96,96,13,13,13,94,67,62,13,13
9801.01,Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9801.01,Margin of Error,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
9803,Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9803,Margin of Error,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
9807,Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9807,Margin of Error,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
9809,Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9809,Margin of Error,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
9810,Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9810,Margin of Error,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
9811,Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9811,Margin of Error,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
9812.01,Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9812.01,Margin of Error,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
9812.02,Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9812.02,Margin of Error,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
9813,Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9813,Margin of Error,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
9815.01,Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9815.01,Margin of Error,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
9815.02,Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9815.02,Margin of Error,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
9816,Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9816,Margin of Error,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
9817,Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9817,Margin of Error,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
9818,Estimate,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,5,0,0,0,12,0,0,0,0,0,12,12,0,0,0
9818,Margin of Error,19,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,19,7,7,13,13,13,18,13,13,13,13,13,18,18,13,13,13
9819,Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9819,Margin of Error,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
9901.01,Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9901.01,Margin of Error,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
